"Company Name","Parent Company Name","Executive First Name","Executive Last Name","Address","City","State","ZIP Code","Credit Score Alpha","Executive Gender","Executive Title","Fax Number Combined","IUSA Number","Location Employee Size Range","Location Sales Volume Range","Phone Number Combined","Primary SIC Code","Primary SIC Description","SIC Code 1","SIC Code 1 Description","Legal Name","Record Type"
"100 Knot Stop LLC","","Layton","Lockett","42311 Finger Bay Rd","Adak","AK","99546","U","Male","Owner","","43-263-8968","","","Not Available","999977","Nonclassified Establishments","999977","Nonclassified Establishments","100 KNOT STOP LLC","Unverified"
"100 Knot Stop LLC","","","","Kagalaska Dr","Adak","AK","99546","B","","","","70-543-2099","1 to 4","$1-2.5 Million","(907) 592-7867","541105","Grocers-Retail","541105","Grocers-Retail","100 KNOT STOP LLC","Verified"
"A D A K C O D Co-Op","","","","","Adak","AK","99546","C+","","","","70-009-5213","1 to 4","Less Than $500,000","(907) 592-2352","653107","Real Estate Cooperatives","653107","Real Estate Cooperatives","","Unverified"
"A D A K Cod LLC","","Joseph","Kelso","100 Seawall Rd","Adak","AK","99546","U","Male","Owner","","43-401-1539","","","Not Available","999977","Nonclassified Establishments","999977","Nonclassified Establishments","A D A K COD LLC","Unverified"
"A D A K Environmental Svc","","Thomas A","Sharrah","168 A Fishermans Cv","Adak","AK","99546","C+","Male","Manager","","72-607-2678","1 to 4","","Not Available","873111","Environmental & Ecological Services","873111","Environmental & Ecological Services","","Unverified"
"A R E","","","","","Adak","AK","99546","U","","","","70-524-9924","","","(907) 592-0785","999977","Nonclassified Establishments","999977","Nonclassified Establishments","","Unverified"
"A R E","","Melvin","Smith","42311 Fingerbay Rd","Adak","AK","99546","A","Male","Manager","","40-235-1716","1 to 4","Less Than $500,000","(907) 592-2325","653118","Real Estate","653118","Real Estate","","Unverified"
"A R E Unit 143b","","","","","Adak","AK","99546","U","","","","70-665-8287","","","(907) 592-2329","999977","Nonclassified Establishments","999977","Nonclassified Establishments","","Unverified"
"A R E Unit 180b","","","","","Adak","AK","99546","U","","","","70-045-3963","","","(907) 592-0665","999977","Nonclassified Establishments","999977","Nonclassified Establishments","","Unverified"
"A R E Unit 187d","","","","","Adak","AK","99546","U","","","","70-045-3961","","","(907) 592-0650","999977","Nonclassified Establishments","999977","Nonclassified Establishments","","Unverified"
"Abu Dhabi Airports","","","","PO Box 2044","Adak","AK","99546","U","","","","80-665-5390","","","Not Available","999977","Nonclassified Establishments","999977","Nonclassified Establishments","","Unverified"
"Ada K/Aleutian EXPERIENCE LLC","","","","177b Little Thumb Bay","Adak","AK","99546","U","","","","73-566-1358","","","Not Available","999977","Nonclassified Establishments","999977","Nonclassified Establishments","ADA K/ALEUTIAN EXPERIENCE LLC","Unverified"
"Adac Inc","","Charles","Mohn","244 Amchitka Cir","Adak","AK","99546","C+","Male","Owner","","40-258-8122","1 to 4","","(907) 577-2111","999977","Nonclassified Establishments","999977","Nonclassified Establishments","ADAC INC","Unverified"
"Adak Airport-Adk","","Innocent","Dushkin","Main Rd","Adak","AK","99546","C+","Male","Manager","","40-228-3173","1 to 4","Less Than $500,000","(907) 592-8026","458106","Airports","458106","Airports","","Verified"
"Adak Cablevision Cable House","","","","","Adak","AK","99546","C+","","","","73-778-7897","1 to 4","$1-2.5 Million","(907) 592-3735","484101","Television-Cable & Catv","484101","Television-Cable & Catv","","Unverified"
"Adak City Hall","","","","100 Mechanical St","Adak","AK","99546","I","","","","81-361-8484","20 to 49","","(907) 592-4500","912112","City Hall","912112","City Hall","","Verified"
"Adak Community Devmnt Corp","","Rick","Koso","100 Mechanical St","Adak","AK","99546","I","Male","President","","40-258-8127","1 to 4","Less Than $500,000","(907) 592-2335","832229","Community Services","832229","Community Services","ADAK COMMUNITY DEVELOPMENT CORP","Verified"
"Adak Community Devmnt Corp","","","","PO Box 1943","Adak","AK","99546","I","","","","78-748-4651","1 to 4","","Not Available","864103","Civic Organizations","864103","Civic Organizations","ADAK COMMUNITY DEVMNT CORP","Verified"
"Adak Community Health Clinic","","Joe","Bereskin","2105 Main St","Adak","AK","99546","C+","Male","President","","74-472-5413","1 to 4","$1-2.5 Million","(907) 592-8383","801104","Clinics","801104","Clinics","","Verified"
"Adak Community Seafoods LLC","","","","100 Main Rd","Adak","AK","99546","U","","","","79-999-0772","","","Not Available","999977","Nonclassified Establishments","999977","Nonclassified Establishments","ADAK COMMUNITY SEAFOODS LLC","Unverified"
"Adak Eagle Enterprises","","","","100 Mechanical St # A132","Adak","AK","99546","U","","","","83-352-5130","","","Not Available","999977","Nonclassified Establishments","999977","Nonclassified Establishments","","Unverified"
"Adak General Store LLC","","Edward","Mcnall","PO Box 2036","Adak","AK","99546","B","Male","Owner","","40-039-8847","1 to 4","$1-2.5 Million","(907) 592-8403","541105","Grocers-Retail","541105","Grocers-Retail","ADAK GENERAL STORE LLC","Unverified"
"Adak Island Inn","","","","100 Mechanical St","Adak","AK","99546","C+","","","","71-664-1659","5 to 9","$500,000-1 Million","(907) 592-0658","701101","Hotels & Motels","701101","Hotels & Motels","","Unverified"
"Adak Logistics LLC","","Nicole R","Gordon","210 Kuluk # B","Adak","AK","99546","C+","Female","Owner","","43-130-6855","1 to 4","Less Than $500,000","Not Available","874266","Logistics Consulting Services","874266","Logistics Consulting Services","ADAK LOGISTICS LLC","Unverified"
"Adak Marine","","","","","Adak","AK","99546","B","","","","71-664-1626","1 to 4","$500,000-1 Million","(907) 592-0184","449202","Towing-Marine","449202","Towing-Marine","","Unverified"
"Adak Marine Svc","","Ken","Smith","1020 Transit Rd","Adak","AK","99546","C+","Male","Manager","","71-664-1634","1 to 4","Less Than $500,000","(907) 592-0185","449102","Docks (Facility)","449102","Docks (Facility)","","Verified"
"Adak Naval Air Station","","","","Adak Is","Adak","AK","99546","U","","","","80-087-4149","","","Not Available","999977","Nonclassified Establishments","999977","Nonclassified Establishments","","Unverified"
"Adak Petroleum Maintenance","","Joe","Galiffok","200 Supply Rd","Adak","AK","99546","C","Male","Manager","","71-664-1709","1 to 4","Less Than $500,000","(907) 592-2103","154227","Maintenance Contractors","154227","Maintenance Contractors","","Unverified"
